id,collected_at,title,url,description,source_name,published_at,used_in
202605130714213856,2026-05-13T07:14:21,Threads tests a Meta AI integration that works similarly to Grok,https://techcrunch.com/2026/05/12/threads-tests-a-meta-ai-integration-that-works-similarly-to-grok/,"The feature is designed to help people get real-time context about trends and breaking stories, as well as receive recommendations, all within conversations.",TechCrunch,2026-05-12T16:34:36Z,
202605130714212227,2026-05-13T07:14:21,Qualcomm drops as chip stocks pull back from record AI-driven rally,https://www.cnbc.com/2026/05/12/qualcomm-chip-stocks-record-ai.html,The recent rally has shown a broadening of the AI trade beyond chipmaking giant Nvidia.,CNBC,2026-05-12T16:10:00Z,
202605130714218047,2026-05-13T07:14:21,"'Nasdaq Will Hit 30,000': This AI Bull Dismisses Michael Burry's Bubble Warning, Cites Big Tech Earnings",https://www.ndtvprofit.com/markets/nasdaq-will-hit-30-000-this-ai-bull-dismisses-michael-burrys-bubble-warning-cites-big-tech-earnings-11485582,"Wedbush’s Dan Ives says the AI boom is still in its early innings, with strong tech earnings and surging chip demand powering the Nasdaq’s march higher despite bubble warnings from “Big Short” investor Michael Burry.",NDTV Profit,2026-05-12T15:54:34Z,
202605130714210658,2026-05-13T07:14:21,"Microsoft's Revised OpenAI Deal Strengthens AI Strategy, Wedbush Securities Says",https://www.marketscreener.com/news/microsoft-s-revised-openai-deal-strengthens-ai-strategy-wedbush-securities-says-ce7f5bdede8df02c,"Microsoft's revised revenue-sharing deal with OpenAI strengthens its long-term artificial intelligence strategy and gives it greater flexibility to monetize its own AI ecosystem, Wedbush...",MarketScreener,2026-05-12T15:50:23Z,
202605151038582867,2026-05-15T10:38:58,Anthropic says its newest lawyer tools are 'like giving an engineer a legal degree',https://www.businessinsider.com/anthropic-expands-legal-ai-tools-claude-cowork-2026-5,,businessinsider.com,2026-05-14T06:00:00,
202605151038586542,2026-05-15T10:38:58,Claude for Small Business,https://www.anthropic.com/news/claude-for-small-business,,anthropic.com,2026-05-14T06:00:00,
202605151038588501,2026-05-15T10:38:58,"메가존클라우드, AI 실행·보안·산업 운영 전략 공개",https://www.epnc.co.kr/news/articleView.html?idxno=401796,,epnc.co.kr,2026-05-14T06:00:00,
202605151038585944,2026-05-15T10:38:58,"삼성전자 반도체 비상체제…""100조 피해 우려""",https://n.news.naver.com/mnews/article/053/0000058301?sid=101,,n.news.naver.com,2026-05-14T06:00:00,
202605151038581494,2026-05-15T10:38:58,"김정관 장관 ""삼성전자 파업 땐 긴급조정 불가피""",https://n.news.naver.com/mnews/article/028/0002805161?sid=102,,n.news.naver.com,2026-05-14T06:00:00,
202605151038584446,2026-05-15T10:38:58,Tech stocks close out best month since start of Covid pandemic in 2020,https://www.cnbc.com/2026/04/30/tech-stocks-best-month-since-2020.html,,cnbc.com,2026-05-14T06:00:00,
202605151038589429,2026-05-15T10:38:58,Software stock dogs have joined market rally,https://www.cnbc.com/2026/04/19/software-tech-stocks-market-rally-microsoft.html,,cnbc.com,2026-05-14T06:00:00,
202605151038585380,2026-05-15T10:38:58,"""韓, 제조 강국 넘어 '피지컬 AI'의 표준으로""",https://n.news.naver.com/mnews/article/008/0005349550?sid=101,,n.news.naver.com,2026-05-14T06:00:00,
202605151038582543,2026-05-15T10:38:58,"전북도, 미래 신산업 이끌 SW 강소기업 5곳 선정",https://n.news.naver.com/mnews/article/056/0012181421?sid=101,,n.news.naver.com,2026-05-14T06:00:00,
202605151038588225,2026-05-15T10:38:58,Microsoft's multi-agent AI system tops Anthropic's Mythos on cybersecurity benchmark,https://www.geekwire.com/2026/microsofts-multi-agent-ai-system-tops-anthropics-mythos-on-cybersecurity-benchmark/,,geekwire.com,2026-05-14T06:00:00,
202605151038582539,2026-05-15T10:38:58,"""AI 해킹 이미 시작됐다""… 킴수키, 지난해 악성코드 개발에 LLM 활용",https://it.chosun.com/news/articleView.html?idxno=2023092162079,,it.chosun.com,2026-05-14T06:00:00,
202605151038581850,2026-05-15T10:38:58,Linux gaming faster because Windows APIs becoming Linux features,https://xda-developers.com/linux-gaming-is-getting-faster,,xda-developers.com,2026-05-14T06:00:00,
202605151038582172,2026-05-15T10:38:58,MacBook Neo Deep Dive,https://www.jdhodges.com/blog/macbook-neo-benchmarks-analysis/,,jdhodges.com,2026-05-14T06:00:00,
202605151038589296,2026-05-15T10:38:58,AI talent war: Software industry is a new target as top executives jump ship to OpenAI,https://www.cnbc.com/2026/04/25/ai-talent-wars-enterprise-software-executives-openai.html,,cnbc.com,2026-05-15T06:00:00,
202605151038586128,2026-05-15T10:38:58,"Anthropic now has more business customers than OpenAI, according to Ramp data",https://techcrunch.com/2026/05/13/anthropic-now-has-more-business-customers-than-openai-according-to-ramp-data/,,techcrunch.com,2026-05-15T06:00:00,
202605151038584525,2026-05-15T10:38:58,A bullish indicator for software stocks just flashed,https://www.marketwatch.com/story/a-bullish-indicator-for-software-stocks-just-flashed-why-a-true-comeback-could-be-in-the-cards-129f0010,,marketwatch.com,2026-05-15T06:00:00,
202605151038582884,2026-05-15T10:38:58,"Atlassian stock soars 28% after earnings show strong cloud, data center growth",https://www.cnbc.com/2026/05/01/atlassian-team-q3-stock-2026-earnings.html,,cnbc.com,2026-05-15T06:00:00,
202605151038580353,2026-05-15T10:38:58,"사측 ""대화하자"" 노조 ""대표가 답하라""…삼성 노사 '핑퐁게임' 지속",https://news.einfomax.co.kr/news/articleView.html?idxno=4414961,,news.einfomax.co.kr,2026-05-15T06:00:00,
202605151038580943,2026-05-15T10:38:58,"김정관 산업부 장관 ""삼성전자 파업 시, 긴급 조정 불가피""",https://www.insight.co.kr/news/554169,,insight.co.kr,2026-05-15T06:00:00,
202605151038588447,2026-05-15T10:38:58,국가 AI컴퓨팅센터 유치...전남도 해남군에 확정,https://www.etoday.co.kr/news/view/2584730,,etoday.co.kr,2026-05-15T06:00:00,
202605151038580731,2026-05-15T10:38:58,"전남도, 솔라시도 국가 AI 컴퓨팅센터 유치 확정",http://www.sisafocus.co.kr/news/articleView.html?idxno=360023,,sisafocus.co.kr,2026-05-15T06:00:00,
202605161140561386,2026-05-16T11:40:56,"You can now connect bank accounts, track spending and ask personal finance questions to ChatGPT",https://www.livemint.com/technology/tech-news/you-can-now-connect-bank-accounts-track-spending-and-ask-personal-finance-questions-to-chatgpt-11778893110633.html,OpenAI has introduced a Personal Finance feature in ChatGPT which allows users to link their financial accounts and analyze spending habits.,Livemint,2026-05-16T01:50:51Z,
202605161140568421,2026-05-16T11:40:56,SpaceX looks at IPO listing on Nasdaq by June 12: Report,https://www.cnbctv18.com/market/spacex-looks-at-ipo-listing-on-nasdaq-by-june-12-report-ws-l-19907204.htm,This listing is expected to headline the crowded IPO calendar this year which could also include AI heavyweights such as OpenAI and Anthropic.,CNBC TV18,2026-05-16T01:39:36Z,
202605161140560276,2026-05-16T11:40:56,"Ray Dalio's Bridgewater Associates exits Salesforce, cuts stake in PayPal in Q1",https://seekingalpha.com/news/4594097-ray-dalios-bridgewater-associates-exits-salesforce-cuts-stake-in-paypal-in-q1,"Ray Dalio's Bridgewater Associates added to its stake in Marvell Technology (MRVL), Nvidia (NVDA), and Amazon.com (AMZN), while reducing its holdings in PayPal (PYPL) and exiting Salesforce (CRM) during Q1, according to the fund's latest 13F filing.",Seeking Alpha,2026-05-15T21:43:22Z,
202605161140561881,2026-05-16T11:40:56,Inflation worries while waiting for Nvidia,https://www.marketscreener.com/news/inflation-worries-while-waiting-for-nvidia-ce7f5bd3da8bf020,"Despite investors' still-insatiable appetite for AI-related stocks, which pushed Wall Street to new highs this week, sentiment deteriorated sharply on Friday as inflation fears resurfaced....
-May 15, 2026 at 05:07 pm EDT
- MarketScreener",MarketScreener,2026-05-15T21:07:35Z,
202605161140569446,2026-05-16T11:40:56,Inflation worries while waiting for Nvidia,https://www.marketscreener.com/news/inflation-worries-while-waiting-for-nvidia-ce7f5bd3da8bf322,"Despite investors' still-insatiable appetite for AI-related stocks, which pushed Wall Street to new highs this week, sentiment deteriorated sharply on Friday as inflation fears resurfaced....
-May 15, 2026 at 05:06 pm EDT
- MarketScreener",MarketScreener,2026-05-15T21:06:36Z,
202605161140568857,2026-05-16T11:40:56,Here's what you need to know,https://www.cnbc.com/2026/05/15/nvidia-cerebras-stock-price-ipo.html,"Nvidia competitor Cerebras made a stunning debut on Wall Street Thursday, signaling unstoppable demand for AI chips. Here's how its chips compete with Nvidia's.",CNBC,2026-05-15T19:11:02Z,
202605161140567252,2026-05-16T11:40:56,"SpaceX, OpenAI, And Anthropic's Exit Wave Could Trigger A Private Market Repricing",https://www.benzinga.com/markets/private-markets/26/05/52612361/spacex-openai-and-anthropics-exit-wave-could-trigger-a-private-market-repricing,"SpaceX, OpenAI, and Anthropic are viewed as catalysts for a private market repricing, with expected IPOs potentially resetting benchmarks.",Benzinga,2026-05-15T18:59:40Z,
202605161140561181,2026-05-16T11:40:56,"Heathrow, Salesforce Team up to Enhance Airport Customer Service",https://www.businessinsider.com/heathrow-salesforce-ai-chatbot-customer-service-2026-5,"Heathrow and Salesforce launched AI assistant Hallie to manage customer inquiries, boosting efficiency at the UK's busiest airport.",Business Insider,2026-05-15T18:33:37Z,
202605161140567159,2026-05-16T11:40:56,"Anthropic commits $200M with Gates Foundation to deploy AI in global health, education, and agriculture",https://thenextweb.com/news/anthropic-gates-foundation-ai-health-education-partnership,"The four-year partnership will fund vaccine research for neglected diseases, AI tutoring in sub-Saharan Africa, and public benchmarks. It dwarfs OpenAI's $50M Gates Foundation deal.",TNW,2026-05-15T18:16:39Z,
202605161140564318,2026-05-16T11:40:56,NVIDIA's China Comeback: Analyst Forecasts 'Godfather of AI' Will Spark New Global Tech Surge,https://www.benzinga.com/analyst-stock-ratings/analyst-color/26/05/52610118/nvidias-china-comeback-analyst-forecasts-godfather-of-ai-will-spark-new-global-tech-surge,NVIDIA (NVDA) stock remains in focus as Dan Ives predicts a massive tech rally following eased U.S.-China tensions. See why the H200 sale approval is a game-changer for AI software and cloud growth in 2026.,Benzinga,2026-05-15T18:01:14Z,
202605161140568323,2026-05-16T11:40:56,Microsoft Corporation: Make Or Break Moment (Rating Upgrade),https://seekingalpha.com/article/4905352-microsoft-corporation-make-or-break-moment-rating-upgrade,"Microsoft Corp. stock is rated a Strong Buy, citing discounted valuation, cloud +29% YoY, AI infrastructure edge, and gaming upside. Click for this MSFT update.",Seeking Alpha,2026-05-15T17:56:59Z,
202605161140568303,2026-05-16T11:40:56,AI chip bubble is now bigger than the Nasdaq during dot-com frenzy,https://www.cnbc.com/2026/05/15/ai-chip-bubble-is-now-bigger-than-the-nasdaq-during-dot-com-frenzy.html,Historical parallels for the artificial intelligence bubble are in no short supply.,CNBC,2026-05-15T16:58:48Z,
202605161140565317,2026-05-16T11:40:56,SpaceXAI Exodus: More than 50 AI researchers leave Elon Musk’s venture as Meta and Thinking Machines poach talent,https://techstartups.com/2026/05/15/spacexai-exodus-more-than-50-ai-researchers-leave-elon-musks-venture-as-meta-and-thinking-machines-poach-talent/,"Elon Musk’s push to fuse rockets, satellites, AI models, and orbital compute into one giant company was supposed to create a new kind of tech empire. Just months later, the cracks are starting to show. More than 50 researchers and engineers have left SpaceXAI since SpaceX absorbed xAI in February, according to a report from",TechStartups.com,2026-05-15T16:53:20Z,
202605161140565750,2026-05-16T11:40:56,"18 days. That's all it takes for a Samsung strike to crash the global AI chip market, and the whole world is holding its breath",https://economictimes.indiatimes.com/news/international/us/18-days-thats-all-it-takes-for-a-samsung-strike-to-crash-the-global-ai-chip-market-and-the-whole-world-is-holding-its-breath/articleshow/131122022.cms,"Samsung strike to crash the global AI chip market: The Samsung strike threatens global AI chip supply chains as 45,000 workers plan an 18-day walkout starting May 21, 2026. Samsung's memory chip workers were offered 607% salary bonuses — six times more than logic chip and foundry engineers building AI silicon for Nvidia and Tesla. JPMorgan estimates up to $20.79 billion in lost profit.",The Economic Times,2026-05-15T16:38:00Z,
202605161140565756,2026-05-16T11:40:56,OpenAI says releasing a preview of a new personal finance experience in ChatGPT to Pro users in U.S.,https://www.marketscreener.com/news/openai-says-releasing-a-preview-of-a-new-personal-finance-experience-in-chatgpt-to-pro-users-in-u-s-ce7f5bd3d889fe24,"OpenAI:
OpenAI: releasing a preview of a new personal finance experience in ChatGPT to Pro users in the United States.
...",MarketScreener,2026-05-15T16:36:21Z,
202605161140561095,2026-05-16T11:40:56,"OpenAI launches ChatGPT for personal finance, will let you connect bank accounts",https://techcrunch.com/2026/05/15/openai-launches-chatgpt-for-personal-finance-will-let-you-connect-bank-accounts/,OpenAI is launching personal finance tools for ChatGPT Pro subscribers in the U.S. first,TechCrunch,2026-05-15T16:00:00Z,
202605161140562035,2026-05-16T11:40:56,"Bill Ackman has been quietly buying Microsoft since February, when AI fears were dragging the stock",https://fortune.com/2026/05/15/bill-ackman-microsoft-stock-openai-azure-spending/,The Pershing Square founder is betting that investors are wrong about Microsoft's Azure growth and $190 billion capex budget.,Fortune,2026-05-15T15:14:49Z,
